Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"45 Middle Ave",Holtsville,NY,11742,40.818353,-73.056,1,rooftop,45,"Middle Ave",,,Holtsville,NY,"Suffolk County",11742,US,Suffolk
"200 Broadway Mall","Hicksville ",NY,11801,40.77252,-73.531127,0.82,nearest_rooftop_match,202,"Broadway Mall",,,Hicksville,NY,"Nassau County",11801,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"1738 Route 46 West","Woodland Park",NJ,07424,40.887345,-74.216853,1,range_interpolation,1738,"US Rte 46",,,"Little Falls",NJ,"Passaic County",07424,US,"TIGER/Line® dataset from the US Census Bureau"
"2275 Pleasant Hill Dr",Duluth,GA,30096,33.961982,-84.136636,0.9,range_interpolation,2275,"Pleasant Hill Rd",,,Duluth,GA,"Gwinnett County",30096,US,"TIGER/Line® dataset from the US Census Bureau"
"1 Buckhead Loop NE, Ste 130",Atlanta,GA,30326,33.851926,-84.363637,1,range_interpolation,1,"Buckhead Loop NE",Ste,130,Atlanta,GA,"Fulton County",30326,US,"TIGER/Line® dataset from the US Census Bureau"
"51 US Hwy 1","New Brunswick",NJ,08901,40.483875,-74.417387,1,range_interpolation,51,"Us 1",,,"New Brunswick",NJ,"Middlesex County",08901,US,"TIGER/Line® dataset from the US Census Bureau"
"71 S. State Rt. 17",Paramus,NJ,07652,40.916567,-74.072788,1,range_interpolation,71,"Nj 17",,,Paramus,NJ,"Bergen County",07652,US,"TIGER/Line® dataset from the US Census Bureau"
"3567 US Route One",Princeton,NJ,08540,40.343625,-74.693953,0.33,place,,,,,Princeton,NJ,"Mercer County",08540,US,"TIGER/Line® dataset from the US Census Bureau"
"3206 Buford Dr",Buford,GA,30519,34.062834,-83.99132,1,rooftop,3206,"Buford Dr",,,Buford,GA,"Gwinnett County",30519,US,Gwinnett
"790 Cobb Place Blvd",Kennesaw,GA,30144,34.007858,-84.569988,1,rooftop,790,"Cobb Place Blvd",,,Kennesaw,GA,"Cobb County",30144,US,Cobb
"901 Neshaminy Mall",Bensalem,PA,19020,40.10455,-74.95128,0.33,place,,,,,Bensalem,PA,"Bucks County",19020,US,"TIGER/Line® dataset from the US Census Bureau"
"4160 Church Rd","Mt. Laurel ",NJ,08054,39.92404,-74.952037,1,rooftop,4160,"Church Rd",,,"Mount Laurel",NJ,"Burlington County",08054,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"909 Airport Center Dr",Allentown,PA,18109,40.656446,-75.428384,0.6,street_center,,"Airport Rd",,,Allentown,PA,"Lehigh County",18109,US,"TIGER/Line® dataset from the US Census Bureau"
